
            Primeiras 250 pesquisas

Tempo de execução: 0.000444100, Linha no dataset: 102168
Tempo de execução: 0.000453400, Linha no dataset: 102432
Tempo de execução: 0.000442300, Linha no dataset: 102696
Tempo de execução: 0.000441600, Linha no dataset: 102960
Tempo de execução: 0.000432000, Linha no dataset: 103224
Tempo de execução: 0.000464300, Linha no dataset: 103488
Tempo de execução: 0.000862100, Linha no dataset: 103752
Tempo de execução: 0.001123800, Linha no dataset: 104016
Tempo de execução: 0.001149300, Linha no dataset: 104280
Tempo de execução: 0.001470100, Linha no dataset: 104544
Tempo de execução: 0.002715100, Linha no dataset: 104808
Tempo de execução: 0.002850500, Linha no dataset: 105072
Tempo de execução: 0.003257900, Linha no dataset: 105336
Tempo de execução: 0.002160900, Linha no dataset: 105600
Tempo de execução: 0.002027300, Linha no dataset: 105864
Tempo de execução: 0.001380800, Linha no dataset: 106128
Tempo de execução: 0.002265400, Linha no dataset: 106392
Tempo de execução: 0.002520000, Linha no dataset: 106656
Tempo de execução: 0.003018000, Linha no dataset: 106920
Tempo de execução: 0.002516000, Linha no dataset: 107184
Tempo de execução: 0.002378400, Linha no dataset: 107448
Tempo de execução: 0.001980200, Linha no dataset: 107712
Tempo de execução: 0.001966400, Linha no dataset: 107976
Tempo de execução: 0.001673500, Linha no dataset: 108240
Tempo de execução: 0.002807300, Linha no dataset: 108504
Tempo de execução: 0.000874300, Linha no dataset: 108768
Tempo de execução: 0.001409200, Linha no dataset: 109032
Tempo de execução: 0.000913200, Linha no dataset: 109296
Tempo de execução: 0.000580500, Linha no dataset: 109560
Tempo de execução: 0.000521700, Linha no dataset: 109824
Tempo de execução: 0.000511000, Linha no dataset: 110088
Tempo de execução: 0.001170800, Linha no dataset: 110352
Tempo de execução: 0.001302100, Linha no dataset: 110616
Tempo de execução: 0.001285900, Linha no dataset: 110880
Tempo de execução: 0.001263800, Linha no dataset: 111144
Tempo de execução: 0.001312000, Linha no dataset: 111408
Tempo de execução: 0.001313400, Linha no dataset: 111672
Tempo de execução: 0.001567500, Linha no dataset: 111936
Tempo de execução: 0.001531500, Linha no dataset: 112200
Tempo de execução: 0.001499100, Linha no dataset: 112464
Tempo de execução: 0.001893800, Linha no dataset: 112728
Tempo de execução: 0.001516900, Linha no dataset: 112992
Tempo de execução: 0.002482500, Linha no dataset: 113256
Tempo de execução: 0.002638000, Linha no dataset: 113520
Tempo de execução: 0.002071600, Linha no dataset: 113784
Tempo de execução: 0.001369700, Linha no dataset: 114048
Tempo de execução: 0.002423700, Linha no dataset: 114312
Tempo de execução: 0.001685800, Linha no dataset: 114576
Tempo de execução: 0.002539800, Linha no dataset: 114840
Tempo de execução: 0.003051200, Linha no dataset: 115104
Tempo de execução: 0.002905600, Linha no dataset: 115368
